Row,Column,Field,Mean/s.d.,%SatPix,MaxCountRatio
B,04,001,1.3924,0.002193,0.3667
B,04,002,1.0577,0,0.4545
B,04,003,1.0986,0,0.4259
B,04,004,1.0747,0,0.75
B,04,005,1.2873,0,0.3889
B,04,006,1.0616,0,0.5897
B,04,007,0.9368,0,0.6333
B,04,008,0.8629,0,0.766
B,04,009,0.8358,0,0.7451
B,04,010,1.3456,0,0.3793
B,04,011,1.0019,0,0.5227
B,04,012,1.3226,0,0.2941
B,04,013,0.9237,0,0.6939
B,04,014,1.0541,0,0.6471
B,04,015,0.9795,0,0.5745
B,04,016,0.9079,0,0.7949
B,04,017,0.8828,0,0.6875
B,04,018,0.8846,0,0.6977
B,04,019,1.015,0,0.6471
B,04,020,1.2474,0,0.7143
B,04,021,1.3196,0,0.2619
B,04,022,1.1767,0,0.6471
B,04,023,1.2308,0,0.2571
B,04,024,1.1857,0,0.5278
B,04,025,1.0464,0,0.5238
B,04,026,1.1271,0,0.614
B,04,027,0.9669,0,0.7714
B,04,028,1.2442,0,0.4194
B,04,029,1.2172,0,0.4516
B,04,030,1.2125,0,0.5
B,04,031,0.9784,0,0.5116
B,04,032,1.4078,0,0.1842
B,04,033,1.0582,0,0.4634
B,04,034,1.316,0,0.4667
B,04,035,1.1239,0,0.6389
B,04,036,0.944,0,0.7222
B,04,037,1.1431,0,0.6
B,04,038,1.1901,0,0.4872
B,04,039,1.1807,0,0.3889
B,04,040,1.2969,0,0.5897
B,04,041,1.3687,0,0.4242
B,04,042,1.6571,0,0.6129
B,04,043,1.2111,0,0.5
B,04,044,0.8801,0,0.8077
B,04,045,1.1935,0,0.7857
B,04,046,1.1903,0,0.5
B,04,047,1.0472,0,0.5405
B,04,048,1.1341,0,0.5
B,04,049,1.5347,0,0.2973
B,04,050,1.4133,0,0.4286
B,04,051,1.2919,0,0.5
B,04,052,1.0568,0,0.5946
B,04,053,1.0836,0,0.6818
B,04,054,1.7844,0,0.3636
B,04,055,0.9456,0,0.5217
B,04,056,1.1971,0,0.6774
B,04,057,1.1938,0,0.5556
B,04,058,0.9224,0,0.6364
B,04,059,1.3021,0,0.6087
B,04,060,1.6996,0,0.3846
B,04,061,2.1048,0,0.5455
B,04,062,1.5449,0,0.5417
B,04,063,1.1152,0,0.4688
B,04,064,0.9858,0,0.6667
B,04,065,1.1118,0,0.5385
B,04,066,0.9351,0,0.6562
B,04,067,1.0712,0,0.4167
B,04,068,1.1111,0,0.5
B,04,069,1.5239,0,0.3684
B,04,070,1.6388,0,0.7857
B,04,071,1.1958,0,0.5526
B,04,072,0.9991,0,0.6829
B,04,073,0.9911,0,0.5278
B,04,074,1.2666,0,0.3469
B,04,075,1.1239,0,0.4412
B,04,076,1.0815,0,0.6296
B,04,077,1.1309,0,0.4872
B,04,078,1.0479,0,0.6923
B,04,079,1.0758,0,0.5526
B,04,080,0.9091,0,0.6905
B,04,081,0.8655,0,0.7436
B,05,001,1.0892,0,0.4151
B,05,002,0.9729,0,0.619
B,05,003,1.193,0,0.475
B,05,004,1.1454,0,0.7727
B,05,005,1.2208,0,0.4783
B,05,006,1.9047,0,0.7333
B,05,007,1.6635,0,0.4348
B,05,008,1.0134,0,0.8
B,05,009,1.5667,0,0.4545
B,05,010,0.9402,0,0.54
B,05,011,1.0015,0,0.6512
