Row,Column,Field,Mean/s.d.,%SatPix,MaxCountRatio
B,04,001,0.7278,0.02365,0.6735
B,04,002,0.7877,0.0001907,0.6174
B,04,003,0.7698,0.00009537,0.7364
B,04,004,0.7687,0.00009537,0.4648
B,04,005,0.776,0.0001907,0.7018
B,05,001,0.9128,0.0001907,0.6901
B,05,002,0.8819,0.00009537,0.698
B,05,003,0.8951,0.00009537,0.6718
B,05,004,0.8823,0.0001907,0.6829
B,05,005,0.993,0.00009537,0.8065
B,06,001,0.8792,0.00009537,0.3451
B,06,002,0.8891,0.00009537,0.5604
B,06,003,0.9212,0.0001907,0.6517
B,06,004,0.9212,0.00009537,0.3836
B,06,005,0.8818,0.00009537,0.6974
B,07,001,0.9876,0.00009537,0.6522
B,07,002,0.8731,0.00009537,0.5342
B,07,003,0.8964,0.00009537,0.4369
B,07,004,0.8509,0.00009537,0.321
B,07,005,0.9319,0.00009537,0.4067
B,08,001,0.955,0.00009537,0.5657
B,08,002,0.9424,0.00009537,0.6068
B,08,003,0.9166,0.00009537,0.5926
B,08,004,0.8869,0.00009537,0.25
B,08,005,0.9071,0.00009537,0.3613
B,09,001,0.9464,0.00009537,0.5645
B,09,002,1.0266,0.00009537,0.6178
B,09,003,0.9774,0.00009537,0.6667
B,09,004,0.9881,0.0001907,0.408
B,09,005,0.9387,0.00009537,0.5692
C,04,001,0.9723,0.0002861,0.5933
C,04,002,0.9892,0.00009537,0.5
C,04,003,0.8998,0.00009537,0.51
C,04,004,1.0118,0.00009537,0.629
C,04,005,1.1232,0.0001907,0.8
C,05,001,0.9511,0.00009537,0.288
C,05,002,0.8724,0.0001907,0.4887
C,05,003,0.8937,0.00009537,0.6556
C,05,004,0.877,0.0002861,0.2424
C,05,005,0.9028,0.00009537,0.4538
C,06,001,0.9875,0.00009537,0.4673
C,06,002,1.1497,0.00009537,0.275
C,06,003,1.0388,0.0003815,0.6562
C,06,004,0.9986,0.00009537,0.5455
C,06,005,0.9565,0.00009537,0.6304
C,07,001,0.9539,0.00009537,0.1374
C,07,002,0.9612,0.00009537,0.5746
C,07,003,0.9229,0.00009537,0.8385
C,07,004,0.8689,0.0001907,0.5044
C,07,005,0.8877,0.0001907,0.2667
C,08,001,0.9797,0.0001907,0.3373
C,08,002,0.9448,0.0002861,0.314
C,08,003,1.0858,0.0001907,0.7875
C,08,004,0.9958,0.00009537,0.7195
C,08,005,0.912,0.00009537,0.6591
C,09,001,0.9816,0.00009537,0.7195
C,09,002,1.1157,0.00009537,0.5846
C,09,003,1.0973,0.0007629,0.07576
C,09,004,1.0474,0.00009537,0.4938
C,09,005,1.0596,0.0001907,0.5068
