n,Row,Column,Field,Mean/s.d.,%SatPix,MaxCountRatio,Area,Circ.,AR,Solidity,Round,Mean-Cy3,IntDen-Cy3,Mean-FITC,IntDen-FITC,Mean-TL-Brightfield,IntDen-TL-Brightfield
1,B,04,001,0.7278,0.02365,0.6735,122.3888,0.9917,1.0447,1.0006,0.9573,859.7998,105229.901,271.5403,33233.4998,1894.9541,231921.248
2,B,04,001,0.7278,0.02365,0.6735,132.3826,0.9775,1.175,0.9995,0.8511,214.1737,28352.8681,289.8862,38375.8848,1875.9038,248336.96
3,B,04,001,0.7278,0.02365,0.6735,128.4125,0.9532,1.3165,1.0054,0.7596,296.0171,38012.2776,302.338,38823.9593,1852.6631,237905.022
4,B,04,001,0.7278,0.02365,0.6735,72.0095,0.9501,1.2547,1,0.797,210.2243,15138.1585,289.3992,20839.5073,1702.9335,122627.462
5,B,04,001,0.7278,0.02365,0.6735,78.4439,0.9685,1.2059,1.0009,0.8292,201.637,15817.1838,270.0244,21181.758,1730.438,135742.234
6,B,04,001,0.7278,0.02365,0.6735,94.5981,0.9802,1.1069,0.9978,0.9035,195.1751,18463.1923,257.6758,24375.6414,1848.2229,174838.351
7,B,04,001,0.7278,0.02365,0.6735,110.8892,0.9817,1.1292,1.0006,0.8856,1418.1383,157256.249,271.642,30122.1672,1918.3617,212725.639
8,B,04,001,0.7278,0.02365,0.6735,83.2354,0.951,1.1763,0.9918,0.8501,206.7451,17208.5013,283.8224,23624.0588,1685.4161,140286.228
9,B,04,001,0.7278,0.02365,0.6735,67.218,0.9672,1.2213,0.983,0.8188,201.0081,13511.3725,269.442,18111.3586,1819.9043,122330.388
10,B,04,001,0.7278,0.02365,0.6735,99.8003,0.9392,1.4719,1.0048,0.6794,201.3251,20092.3056,271.0206,27047.9347,1651.6626,164836.417
11,B,04,001,0.7278,0.02365,0.6735,121.8412,0.8917,1.5358,0.9851,0.6511,214.4,26122.7626,289.5753,35282.2124,1752.4034,213515.006
12,B,04,001,0.7278,0.02365,0.6735,95.4195,0.8676,1.6369,0.9971,0.6109,883.1478,84269.5111,295.175,28165.4516,1758.8034,167824.129
13,B,04,001,0.7278,0.02365,0.6735,95.9671,0.9872,1.0581,0.9887,0.9451,203.234,19503.7713,277.6419,26644.4896,1739.6476,166948.926
14,B,04,001,0.7278,0.02365,0.6735,116.0914,0.9609,1.2918,0.9959,0.7741,206.4552,23967.6785,272.6085,31647.5101,1903.23,220948.691
15,B,04,001,0.7278,0.02365,0.6735,69.4084,0.9702,1.1857,1.004,0.8434,212.0552,14718.4222,284.3116,19733.6269,1756.8639,121941.181
16,B,04,001,0.7278,0.02365,0.6735,84.0568,0.9668,1.2446,0.984,0.8035,199.8567,16799.3064,264.1075,22200.0222,1939.7166,163046.309
17,B,04,001,0.7278,0.02365,0.6735,84.3306,0.9625,1.0924,0.9919,0.9155,210.151,17722.1511,275.0292,23193.3706,1773.0211,149519.878
18,B,04,001,0.7278,0.02365,0.6735,117.5973,0.9684,1.2111,0.9913,0.8257,534.7066,62880.0755,265.9627,31276.5104,1955.9697,230016.828
